iter	Passed	Remaining
410	4279	6132
411	4290	6122
412	4300	6111
413	4309	6100
414	4320	6090
415	4329	6078
416	4340	6068
417	4351	6058
418	4361	6047
419	4372	6038
420	4383	6029
421	4393	6017
422	4404	6007
423	4414	5997
424	4423	5984
425	4433	5973
426	4442	5961
427	4453	5952
428	4463	5941
429	4473	5930
430	4483	5919
431	4493	5907
432	4523	5923
433	4536	5916
434	4546	5905
435	4555	5892
436	4566	5882
437	4574	5869
438	4584	5858
439	4593	5845
440	4603	5835
441	4614	5825
442	4623	5813
443	4633	5802
444	4642	5790
445	4652	5778
446	4662	5768
447	4672	5757
448	4682	5746
449	4691	5734
450	4701	5723
451	4711	5711
452	4719	5699
453	4730	5689
454	4740	5678
455	4750	5667
456	4762	5658
457	4772	5647
458	4783	5637
459	4793	5627
460	4803	5616
461	4813	5605
462	4822	5593
463	4832	5582
464	4842	5571
465	4850	5558
466	4861	5548
467	4871	5537
468	4881	5526
469	4891	5515
470	4900	5504
471	4911	5493
472	4920	5481
473	4931	5472
474	4940	5460
475	4951	5451
476	4963	5441
477	4972	5430
478	4985	5422
479	4996	5412
480	5007	5402
481	5017	5391
482	5027	5381
483	5036	5369
484	5047	5359
485	5058	5350
486	5068	5339
487	5079	5329
488	5091	5320
489	5101	5309
490	5111	5298
491	5120	5287
492	5130	5276
493	5141	5266
494	5150	5254
495	5160	5243
496	5168	5230
497	5178	5220
498	5187	5208
499	5197	5197
500	5207	5187
501	5217	5175
502	5227	5164
503	5236	5152
504	5245	5141
505	5255	5130
506	5263	5118
507	5274	5108
508	5283	5096
509	5296	5088
510	5307	5078
511	5316	5066
512	5326	5056
513	5337	5046
514	5347	5035
515	5357	5025
516	5367	5014
517	5378	5004
518	5388	4994
519	5398	4983
520	5409	4973
521	5419	4962
522	5429	4951
523	5439	4941
524	5449	4930
525	5459	4919
526	5468	4908
527	5479	4898
528	5490	4888
529	5499	4877
530	5510	4867
531	5520	4856
532	5529	4844
533	5540	4834
534	5550	4823
535	5558	4812
536	5568	4801
537	5577	4789
538	5589	4780
539	5599	4769
540	5609	4758
541	5619	4748
542	5628	4736
543	5638	4726
544	5649	4716
545	5658	4705
546	5669	4694
547	5677	4683
548	5687	4672
549	5696	4660
550	5706	4650
551	5717	4640
552	5726	4628
553	5736	4618
554	5746	4607
555	5755	4595
556	5764	4585
557	5774	4574
558	5784	4563
559	5793	4552
560	5804	4542
561	5814	4531
562	5824	4520
563	5835	4510
564	5843	4499
565	5853	4488
566	5864	4478
567	5872	4466
568	5883	4456
569	5892	4445
570	5903	4435
571	5913	4424
572	5922	4413
573	5932	4402
574	5941	4391
575	5952	4381
576	5962	4371
577	5972	4360
578	5983	4350
579	5992	4339
580	6004	4330
581	6014	4319
582	6023	4308
583	6033	4297
584	6043	4287
585	6052	4276
586	6062	4265
587	6071	4254
588	6082	4244
589	6090	4232
590	6101	4222
591	6111	4211
592	6120	4200
593	6130	4190
594	6139	4178
595	6149	4168
596	6159	4157
597	6168	4146
598	6178	4136
599	6188	4125
600	6200	4116
601	6210	4106
602	6221	4096
603	6230	4085
604	6241	4074
605	6250	4063
606	6260	4053
607	6270	4042
608	6281	4032
609	6291	4022
610	6301	4011
611	6311	4001
612	6320	3990
613	6331	3980
614	6341	3969
615	6350	3958
616	6359	3947
617	6369	3936
618	6379	3926
619	6389	3916
620	6399	3905
621	6410	3895
622	6420	3885
623	6430	3874
624	6440	3864
625	6449	3853
626	6460	3843
627	6469	3832
628	6479	3821
629	6488	3810
630	6497	3799
631	6507	3789
632	6516	3777
633	6526	3767
634	6536	3757
635	6547	3747
636	6560	3738
637	6575	3731
638	6587	3721
639	6597	3711
640	6610	3702
641	6622	3692
642	6634	3683
643	6646	3674
644	6657	3664
645	6666	3653
646	6678	3644
647	6690	3634
648	6698	3622
649	6710	3613
650	6721	3603
651	6731	3592
652	6743	3583
653	6754	3573
654	6763	3562
655	6774	3552
656	6785	3542
657	6795	3531
658	6807	3522
659	6817	3512
660	6831	3503
661	6843	3494
662	6855	3484
663	6866	3474
664	6877	3464
665	6889	3454
666	6898	3444
667	6910	3434
668	6922	3425
669	6936	3416
670	6947	3406
671	6959	3396
672	6970	3386
673	6979	3375
674	6990	3365
675	7000	3355
676	7010	3344
677	7020	3334
678	7029	3323
679	7040	3313
680	7051	3303
681	7060	3292
682	7071	3282
683	7081	3271
684	7090	3260
685	7100	3250
686	7109	3239
687	7119	3228
688	7128	3217
689	7140	3208
690	7152	3198
691	7161	3187
692	7171	3177
693	7181	3166
694	7190	3155
695	7200	3144
696	7208	3133
697	7219	3123
698	7228	3112
699	7238	3102
700	7248	3091
701	7258	3081
702	7267	3070
703	7277	3059
704	7286	3049
705	7296	3038
706	7305	3027
707	7315	3016
708	7324	3006
709	7334	2995
710	7343	2984
711	7353	2974
712	7363	2963
713	7372	2953
714	7383	2942
715	7392	2932
716	7403	2921
717	7414	2912
718	7424	2901
719	7434	2891
720	7446	2881
721	7458	2871
722	7470	2861
723	7481	2851
724	7490	2841
725	7503	2831
726	7519	2823
727	7534	2815
728	7550	2806
729	7568	2799
730	7580	2789
731	7591	2779
732	7604	2770
733	7621	2761
734	7634	2752
735	7645	2742
736	7656	2732
737	7669	2722
738	7681	2713
739	7693	2703
740	7704	2693
741	7716	2683
742	7728	2673
743	7740	2663
744	7750	2652
745	7759	2642
746	7769	2631
747	7779	2620
748	7789	2610
749	7800	2600
750	7813	2590
751	7822	2579
752	7832	2569
753	7843	2558
754	7853	2548
755	7864	2538
756	7875	2528
757	7887	2518
758	7898	2508
759	7911	2498
760	7922	2488
761	7933	2477
762	7946	2468
763	7958	2458
764	7969	2448
765	7981	2438
766	7992	2427
767	8004	2417
768	8016	2408
769	8027	2397
770	8037	2387
771	8047	2376
772	8058	2366
773	8067	2355
774	8080	2346
775	8091	2335
776	8101	2325
777	8113	2315
778	8126	2305
779	8138	2295
780	8148	2284
781	8160	2274
782	8171	2264
783	8181	2254
784	8193	2244
785	8205	2233
786	8216	2223
787	8228	2213
788	8241	2203
789	8251	2193
790	8262	2183
791	8274	2173
792	8285	2162
793	8296	2152
794	8307	2142
795	8317	2131
796	8327	2120
797	8338	2110
798	8347	2099
799	8358	2089
800	8368	2079
801	8379	2068
802	8389	2058
803	8400	2047
804	8410	2037
805	8420	2026
806	8431	2016
807	8441	2005
808	8452	1995
809	8462	1984
810	8473	1974
811	8483	1964
812	8493	1953
813	8505	1943
814	8515	1933
815	8526	1922
816	8537	1912
817	8548	1901
818	8558	1891
819	8569	1881
820	8580	1870
821	8591	1860
822	8602	1850
823	8611	1839
824	8622	1829
825	8632	1818
826	8643	1808
827	8654	1797
828	8665	1787
829	8674	1776
830	8684	1766
831	8695	1755
832	8705	1745
833	8716	1735
834	8727	1724
835	8738	1714
836	8749	1703
837	8759	1693
838	8771	1683
839	8782	1672
840	8792	1662
841	8803	1651
842	8814	1641
843	8825	1631
844	8837	1621
845	8849	1610
846	8861	1600
847	8873	1590
848	8885	1580
849	8896	1569
850	8906	1559
851	8918	1549
852	8932	1539
853	8946	1529
854	8958	1519
855	8970	1509
856	8982	1498
857	8993	1488
858	9004	1477
859	9015	1467
860	9026	1457
861	9038	1446
862	9049	1436
863	9060	1426
864	9071	1415
865	9082	1405
866	9094	1395
867	9105	1384
868	9116	1374
869	9128	1364
870	9138	1353
871	9150	1343
872	9162	1332
873	9173	1322
874	9185	1312
875	9195	1301
876	9206	1291
877	9218	1280
878	9230	1270
879	9240	1260
880	9256	1250
881	9271	1240
882	9285	1230
883	9302	1220
884	9316	1210
885	9330	1200
886	9344	1190
887	9355	1179
888	9365	1169
889	9374	1158
890	9383	1147
891	9393	1137
892	9401	1126
893	9411	1115
894	9420	1105
895	9430	1094
896	9440	1084
897	9452	1073
898	9462	1063
899	9471	1052
900	9482	1041
901	9491	1031
902	9501	1020
903	9511	1010
904	9522	999
905	9531	988
906	9543	978
907	9553	967
908	9563	957
909	9573	946
910	9582	936
911	9592	925
912	9602	915
913	9613	904
914	9624	894
915	9634	883
916	9645	873
917	9657	862
918	9666	852
919	9679	841
920	9689	831
921	9698	820
922	9709	809
923	9717	799
924	9728	788
925	9740	778
926	9748	767
927	9760	757
928	9772	746
929	9781	736
930	9793	725
931	9805	715
932	9815	704
933	9826	694
934	9838	683
935	9848	673
936	9859	662
937	9870	652
938	9880	641
939	9890	631
940	9902	620
941	9911	610
942	9921	599
943	9930	589
944	9941	578
945	9953	568
946	9962	557
947	9975	547
948	9986	536
949	9995	526
950	10006	515
951	10014	504
952	10024	494
953	10034	483
954	10043	473
955	10052	462
956	10062	452
957	10073	441
958	10083	431
959	10092	420
960	10102	409
961	10111	399
962	10121	388
963	10132	378
964	10141	367
965	10151	357
966	10161	346
967	10171	336
968	10181	325
969	10191	315
970	10202	304
971	10210	294
972	10222	283
973	10233	273
974	10242	262
975	10253	252
976	10263	241
977	10272	231
978	10282	220
979	10292	210
980	10302	199
981	10312	189
982	10321	178
983	10331	167
984	10340	157
985	10349	146
986	10357	136
987	10368	125
988	10378	115
989	10388	104
990	10401	94
991	10412	83
992	10422	73
993	10432	62
994	10441	52
995	10455	41
996	10466	31
997	10476	20
998	10486	10
999	10497	0
